"","reads.in","reads.out"
"c21t4bf_S490_L001_R1_001.fastq.gz",10913,10875
"c21t4bw_S489_L001_R1_001.fastq.gz",15755,15750
"c21t4hull_S491_L001_R1_001.fastq.gz",12279,12276
"c21t4post_S522_L001_R1_001.fastq.gz",33708,33703
"c21t4pre_S521_L001_R1_001.fastq.gz",41993,41985
"c21t4rear_S492_L001_R1_001.fastq.gz",12779,12777
"c22t1bf_S164_L001_R1_001.fastq.gz",23202,23177
"c22t1bw_S163_L001_R1_001.fastq.gz",9269,9265
"c22t1hull_S165_L001_R1_001.fastq.gz",27989,27976
"c22t1post_S132_L001_R1_001.fastq.gz",10704,10697
"c22t1pre_S131_L001_R1_001.fastq.gz",14160,14160
"c22t1rear_S166_L001_R1_001.fastq.gz",12372,12371
"c22t3bf_S439_L001_R1_001.fastq.gz",19173,19160
"c22t3bw_S438_L001_R1_001.fastq.gz",21617,21592
"c22t3hull_S440_L001_R1_001.fastq.gz",457,457
"c22t3post_S407_L001_R1_001.fastq.gz",16851,16851
"c22t3pre_S406_L001_R1_001.fastq.gz",10154,10154
"c22t3rear_S441_L001_R1_001.fastq.gz",7379,7373
"c23t1bf_S168_L001_R1_001.fastq.gz",14841,14830
"c23t1bw_S167_L001_R1_001.fastq.gz",12917,12876
"c23t1hull_S169_L001_R1_001.fastq.gz",19254,19245
"c23t1post_S134_L001_R1_001.fastq.gz",22476,22473
"c23t1pre_S133_L001_R1_001.fastq.gz",15925,15919
"c23t1rear_S170_L001_R1_001.fastq.gz",23892,23892
"c23t2bf_S232_L001_R1_001.fastq.gz",20351,20246
"c23t2bw_S231_L001_R1_001.fastq.gz",28041,27921
"c23t2hull_S233_L001_R1_001.fastq.gz",24,18
"c23t2post_S206_L001_R1_001.fastq.gz",18623,18612
"c23t2pre_S205_L001_R1_001.fastq.gz",18269,18266
"c23t2rear_S234_L001_R1_001.fastq.gz",11019,11015
"c23t3bf_S447_L001_R1_001.fastq.gz",18739,18725
"c23t3bw_S446_L001_R1_001.fastq.gz",20357,20311
"c23t3hull_S448_L001_R1_001.fastq.gz",30,29
"c23t3post_S463_L001_R1_001.fastq.gz",13961,13961
"c23t3pre_S462_L001_R1_001.fastq.gz",28182,28182
"c23t3rear_S449_L001_R1_001.fastq.gz",67136,67116
"c23t4bf_S486_L001_R1_001.fastq.gz",16782,16767
"c23t4bw_S485_L001_R1_001.fastq.gz",14849,14832
"c23t4hull_S487_L001_R1_001.fastq.gz",93366,93348
"c23t4post_S520_L001_R1_001.fastq.gz",31305,31288
"c23t4pre_S519_L001_R1_001.fastq.gz",24788,24788
"c23t4rear_S488_L001_R1_001.fastq.gz",60286,60273
