sample_type,study,transit,swab_type,filter_type,location,boat,old_fastq_name,read,is.duplicated,sample.names
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box8-20,R1,not_duplicate,Box8-20
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box8-19,R1,not_duplicate,Box8-19
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box8-21,R1,not_duplicate,Box8-21
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box8-2,R1,not_duplicate,Box8-2
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box8-1,R1,not_duplicate,Box8-1
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box8-22,R1,not_duplicate,Box8-22
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box10-22,R1,not_duplicate,Box10-22
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box10-21,R1,not_duplicate,Box10-21
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box10-23,R1,not_duplicate,Box10-23
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box10-48,R1,not_duplicate,Box10-48
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box10-47,R1,not_duplicate,Box10-47
boat,ChesapeakeBay,four,rear,nonfilter,Norfolk,Lookdown,Box10-24,R1,not_duplicate,Box10-24
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box2-14,R1,not_duplicate,Box2-14
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box2-13,R1,not_duplicate,Box2-13
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box2-15,R1,not_duplicate,Box2-15
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box2-12,R1,not_duplicate,Box2-12
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box2-11,R1,not_duplicate,Box2-11
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box2-16,R1,not_duplicate,Box2-16
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box8-24,R1,not_duplicate,Box8-24
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box8-23,R1,not_duplicate,Box8-23
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box8-25,R1,not_duplicate,Box8-25
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box8-4,R1,not_duplicate,Box8-4
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box8-3,R1,not_duplicate,Box8-3
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box8-26,R1,not_duplicate,Box8-26
boat,ChesapeakeBay,one,bilgebiofilm,nonfilter,Baltimore,Callinectes,Box3-24,R1,not_duplicate,Box3-24
boat,ChesapeakeBay,one,bilgewater,nonfilter,Baltimore,Callinectes,Box3-23,R1,not_duplicate,Box3-23
boat,ChesapeakeBay,one,hull,nonfilter,Baltimore,Callinectes,Box3-25,R1,not_duplicate,Box3-25
openwater,ChesapeakeBay,one,nonswab,post,Baltimore,Callinectes,Box3-2,R1,not_duplicate,Box3-2
openwater,ChesapeakeBay,one,nonswab,pre,Baltimore,Callinectes,Box3-1,R1,not_duplicate,Box3-1
boat,ChesapeakeBay,one,rear,nonfilter,Baltimore,Callinectes,Box3-26,R1,not_duplicate,Box3-26
boat,ChesapeakeBay,two,bilgebiofilm,nonfilter,Norfolk,Callinectes,Box4-28,R1,not_duplicate,Box4-28
boat,ChesapeakeBay,two,bilgewater,nonfilter,Norfolk,Callinectes,Box4-27,R1,not_duplicate,Box4-27
openwater,ChesapeakeBay,two,nonswab,post,Norfolk,Callinectes,Box4-8,R1,not_duplicate,Box4-8
openwater,ChesapeakeBay,two,nonswab,pre,Norfolk,Callinectes,Box4-7,R1,not_duplicate,Box4-7
boat,ChesapeakeBay,two,rear,nonfilter,Norfolk,Callinectes,Box4-30,R1,not_duplicate,Box4-30
boat,ChesapeakeBay,three,bilgebiofilm,nonfilter,Baltimore,Lookdown,Box8-28,R1,not_duplicate,Box8-28
boat,ChesapeakeBay,three,bilgewater,nonfilter,Baltimore,Lookdown,Box8-27,R1,not_duplicate,Box8-27
boat,ChesapeakeBay,three,hull,nonfilter,Baltimore,Lookdown,Box8-29,R1,not_duplicate,Box8-29
openwater,ChesapeakeBay,three,nonswab,post,Baltimore,Lookdown,Box8-6,R1,not_duplicate,Box8-6
openwater,ChesapeakeBay,three,nonswab,pre,Baltimore,Lookdown,Box8-5,R1,not_duplicate,Box8-5
boat,ChesapeakeBay,three,rear,nonfilter,Baltimore,Lookdown,Box8-30,R1,not_duplicate,Box8-30
boat,ChesapeakeBay,four,bilgebiofilm,nonfilter,Norfolk,Lookdown,Box10-18,R1,not_duplicate,Box10-18
boat,ChesapeakeBay,four,bilgewater,nonfilter,Norfolk,Lookdown,Box10-17,R1,not_duplicate,Box10-17
boat,ChesapeakeBay,four,hull,nonfilter,Norfolk,Lookdown,Box10-19,R1,not_duplicate,Box10-19
openwater,ChesapeakeBay,four,nonswab,post,Norfolk,Lookdown,Box10-46,R1,not_duplicate,Box10-46
openwater,ChesapeakeBay,four,nonswab,pre,Norfolk,Lookdown,Box10-45,R1,not_duplicate,Box10-45
