location_sampled,sample_type,sample_description,sample_detail_description,latitude,longitude,boat_name,transit,location_description,location,npoc_um,tn_um,phosphate_umoll,silicate_umoll,nn_umoll,ammonia_umoll,tds_mgl,temp_f,temp_c,odo_mgl,ph,orp,location_sampled_w_boat_name,rownames,geographic_order,true_geographic_order,km_to_baltimore
boat,surface,hull,boat_surface_hull,36.994652,-76.296913,Lookdown,t3,port,Norfolk,248.944691,15.3712152,0.367040657,47.57468138,0.525281506,0.174599586,NA,NA,NA,NA,NA,NA,Lookdown,c21t3hull,21,49,251.9
openwater,filter,PES_0.2_um,openwater_filter_PES_0.2_um,36.994652,-76.296913,Lookdown,t3,port,Norfolk,248.944691,15.3712152,0.367040657,47.57468138,0.525281506,0.174599586,NA,NA,NA,NA,NA,NA,openwater,c21t3post,21,49,251.9
boat,surface,transom,boat_surface_transom,36.994652,-76.296913,Lookdown,t3,port,Norfolk,248.944691,15.3712152,0.367040657,47.57468138,0.525281506,0.174599586,NA,NA,NA,NA,NA,NA,Lookdown,c21t3rear,21,49,251.9
boat,bilge,water,boat_bilge_water,36.994652,-76.296913,Lookdown,t3,port,Norfolk,248.944691,15.3712152,0.367040657,47.57468138,0.525281506,0.174599586,NA,NA,NA,NA,NA,NA,Lookdown,c21t3bw,21,49,251.9
boat,bilge,biofilm,boat_bilge_biofilm,38.222752,-76.298485,Lookdown,t3,bay,Chesapeake,231.2937631,17.36311908,0.170218028,53.49630534,0.225794407,0.04925253,4128,82.8,28.22222222,11.24,8.51,-39.2,Lookdown,c13t3bf,13,27,116.43
openwater,filter,glass_fiber,openwater_filter_glass_fiber,38.222752,-76.298485,Lookdown,t3,bay,Chesapeake,231.2937631,17.36311908,0.170218028,53.49630534,0.225794407,0.04925253,NA,NA,NA,NA,NA,NA,openwater,c13t3pre,13,27,116.43
boat,surface,hull,boat_surface_hull,38.222752,-76.298485,Lookdown,t3,bay,Chesapeake,231.2937631,17.36311908,0.170218028,53.49630534,0.225794407,0.04925253,NA,NA,NA,NA,NA,NA,Lookdown,c13t3hull,13,27,116.43
openwater,filter,PES_0.2_um,openwater_filter_PES_0.2_um,38.222752,-76.298485,Lookdown,t3,bay,Chesapeake,231.2937631,17.36311908,0.170218028,53.49630534,0.225794407,0.04925253,NA,NA,NA,NA,NA,NA,openwater,c13t3post,13,27,116.43
boat,surface,transom,boat_surface_transom,38.222752,-76.298485,Lookdown,t3,bay,Chesapeake,231.2937631,17.36311908,0.170218028,53.49630534,0.225794407,0.04925253,NA,NA,NA,NA,NA,NA,Lookdown,c13t3rear,13,27,116.43
boat,bilge,water,boat_bilge_water,38.222752,-76.298485,Lookdown,t3,bay,Chesapeake,231.2937631,17.36311908,0.170218028,53.49630534,0.225794407,0.04925253,NA,NA,NA,NA,NA,NA,Lookdown,c13t3bw,13,27,116.43
boat,bilge,biofilm,boat_bilge_biofilm,36.85009,-76.300941,Callinectes,t2,port,Norfolk,570.9076074,42.28690555,1.732996562,55.57575933,5.614891819,11.53939931,NA,NA,NA,NA,NA,NA,Callinectes,c25t2bf,26,58,267.88
openwater,filter,glass_fiber,openwater_filter_glass_fiber,36.85009,-76.300941,Callinectes,t2,port,Norfolk,570.9076074,42.28690555,1.732996562,55.57575933,5.614891819,11.53939931,NA,NA,NA,NA,NA,NA,openwater,c25t2pre,26,58,267.88
boat,surface,hull,boat_surface_hull,36.85009,-76.300941,Callinectes,t2,port,Norfolk,570.9076074,42.28690555,1.732996562,55.57575933,5.614891819,11.53939931,NA,NA,NA,NA,NA,NA,Callinectes,c25t2hull,26,58,267.88
