"","taxon","Kingdom","Phylum","Class","Order","Family","Genus","Species","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Comparison","threshold","Enriched_Genus"
"1439","sp15715","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas","shioyasakiensis",1.28846153846154,-1.77564018216398e-07,0.502947665879794,-3.53046708956865e-07,0.999999718309482,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1440","sp15716","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Salinirepens",NA,1.28846153846154,-1.85879144290452e-07,0.51458917346059,-3.61218529026607e-07,0.999999711789313,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1441","sp15722","Bacteria","Actinobacteriota","Acidimicrobiia","Microtrichales","Ilumatobacteraceae","Ilumatobacter","fluminis",1.28846153846154,-1.85879144137357e-07,0.51458917346059,-3.61218528729098e-07,0.999999711789313,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1442","sp15724","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae","Synechococcus MBIC10613",NA,1.28846153846154,-1.85879144137357e-07,0.51458917346059,-3.61218528729098e-07,0.999999711789313,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1443","sp15726","Bacteria","Cyanobacteria","Cyanobacteriia","Synechococcales","Cyanobiaceae",NA,NA,1.28846153846154,-1.85879144290452e-07,0.51458917346059,-3.61218529026607e-07,0.999999711789313,0.999999950412143,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1444","sp15744","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Halieaceae","OM60(NOR5) clade",NA,1.28846153846154,0.700439553633867,0.484626487645311,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1445","sp15748","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA,1.28846153846154,0.700439553633867,0.484626487645312,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1446","sp15749","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pseudoalteromonadaceae","Pseudoalteromonas",NA,1.28846153846154,0.700439553633867,0.484626487645312,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1447","sp15787","Bacteria","Actinobacteriota","Actinobacteria","Frankiales","Sporichthyaceae","hgcI clade",NA,1.28846153846154,0.700439553633867,0.484626487645311,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
"1448","sp15814","Bacteria","Proteobacteria","Gammaproteobacteria","Steroidobacterales","Woeseiaceae","Woeseia",NA,1.28846153846154,0.700439553633867,0.484626487645311,1.44531834617035,0.148368486993691,0.312643392186336,"Baltimore vs. Norfolk","Not_Enriched","Not Enriched"
